State/UT,Self- finance,Financial Assistance from Govt. sources,Borrowing from financial institution,"-
Borrowing from Non- institutions
/ Money Lenders",- Loan from Self Help Group,"Donations
/ Transfers from other agencies",Total
Northern States,995676,38312,11183,7404,2511,252441,130752
North Eastern States,299807,6069,3491,2271,1396,14648,327681
Central States,1884570,143980,32557,35728,13100,522147,2632082
Southern States (Including Goa),3185394,82617,39558,22122,63653,390184,3783528
All India,6365447,270978,86789,67525,80660,1179420,8050819
,79.07%,3.37%,1.08%,0.84%,1%,14.65%,100%
